Date,Open,High,Low,Close,Adj Close,Volume
2024-01-03,1.650000,1.990000,1.570000,1.940000,1.940000,208300
2024-01-04,1.910000,2.330000,1.810000,2.290000,2.290000,185800
2024-01-05,2.350000,3.720000,2.350000,3.010000,3.010000,3076300
2024-01-08,3.200000,4.130000,3.065000,3.760000,3.760000,848700
2024-01-09,3.690000,4.170000,3.190000,4.000000,4.000000,355400
2024-01-10,4.100000,4.920000,4.085000,4.540000,4.540000,564900
2024-01-11,4.770000,6.490000,4.570000,6.250000,6.250000,1507500
2024-01-12,6.170000,6.350000,4.280000,4.890000,4.890000,1135200
2024-01-16,4.810000,5.750000,4.510000,5.490000,5.490000,363000
2024-01-17,5.350000,5.429000,4.310000,4.640000,4.640000,222500
2024-01-18,4.700000,5.199000,4.110000,4.130000,4.130000,193700
2024-01-19,4.110000,4.320000,3.330000,3.500000,3.500000,226900
2024-01-22,3.600000,4.000000,3.600000,3.800000,3.800000,55500
2024-01-23,4.160000,4.470000,3.830000,4.200000,4.200000,139800
2024-01-24,4.300000,5.600000,4.210000,5.350000,5.350000,265100
2024-01-25,5.390000,5.500000,4.010000,4.180000,4.180000,176200
2024-01-26,4.370000,4.406400,3.900000,3.920000,3.920000,51166
